Partial_Entity_Name,State,State_Short,Full_Entity_Name,Match_Status,Matched_Name,Confidence_Score,Match_Stage,Context_Notes,Top_3_Candidates
OSWEGO CUSD 308,Illinois,IL,IL-OSWEGO CUSD 308,Matched,IL-WABASH CUSD 348,0.6289,review,,IL-WABASH CUSD 348 (0.629) | IL-OSWEGO COMMUNITY UNIT SCHOOL DISTRICT 308 (0.614) | IL-UNITED CUSD 304 (0.612)
MARION CSD,New York,NY,NY-MARION CSD,Matched,NY-RHINEBECK CSD,0.6274,review,,NY-RHINEBECK CSD (0.627) | NY-NARDIN ACADEMY (0.583) | NY-SAINT MARYS ACADEMY (0.556)
WEST GENESEE CSD,New York,NY,NY-W GENESEE CSD,Matched,NY-TOWN OF GENESEE,0.6226,review,type_mismatch: SCHOOL vs CITY,NY-TOWN OF GENESEE (0.623) | NY-TOWN OF GENESEE FALLS (0.622) | NY-WEST GENESEE CENTRAL SCHOOL DISTRICT (0.587)
GALWAY CSD,New York,NY,NY-GALWAY CSD,Matched,NY-GALWAY CENTRAL SCHOOL DISTRICT,0.6158,review,,NY-GALWAY CENTRAL SCHOOL DISTRICT (0.616) | NY- ALBANY ACADEMY (0.611) | NY-GATEWAY ACADEMY SCHOOL (0.557)
CAMDEN CSD,New York,NY,NY-CAMDEN CSD,Matched,NY-CAMDEN CENTRAL SCHOOL DISTRICT,0.6158,review,,NY-CAMDEN CENTRAL SCHOOL DISTRICT (0.616) | NY-FARMINGDALE UFSD (0.577) | NY-MDQ ACADEMY (0.569)
CITY OF BARLTESVILLE,Oklahoma,OK,OK-CITY OF BARLTESVILLE,Matched,OK-CITY OF ALTUS,0.6142,review,city_mismatch: BARLTESVILLE vs ALTUS,OK-CITY OF ALTUS (0.614) | OK-TOWN OF SLAUGHTERVILLE (0.612) | OK-CITY OF ALVA (0.593)
CLARKDALE COUNTY,Arizona,AZ,AZ-CLARKDALE COUNTY,Matched,AZ-CARDEN OF TUCSON,0.6002,review,,AZ-CARDEN OF TUCSON (0.600) | AZ-TOWN OF CLARKDALE (0.586) | AZ-CLARKDALE JEROME SCHOOL DISTRICT 3 (0.565)
BOQUET VALLEY CSD,New York,NY,NY-BOQUET VALLEY CSD,Matched,NY-BRASHER FALLS CSD,0.5967,review,,NY-BRASHER FALLS CSD (0.597) | NY-VALLEY CENTRAL SCHOOLS (0.594) | NY-ROUNDOUT VALLEY CENTRAL SCHOOL (0.571)
PIMA JTED,Arizona,AZ,AZ-PIMA JTED,Matched,AZ-PIMA MEDICAL INSTITUTE,0.5955,review,,AZ-PIMA MEDICAL INSTITUTE (0.595) | AZ-PAPAGO PIMA EDUCATION (0.534)
EASTON VALLEY CSD,Iowa,IA,IA-EASTON VALLEY CSD,Matched,IA-CEDAR VALLEY CHRISTIAN SCHOOL,0.5896,review,,IA-CEDAR VALLEY CHRISTIAN SCHOOL (0.590) | IA-PLEASANT VALLEY COMMUNITY SCHOOL DISTRICT (0.553) | IA-ROCK VALLEY CHRISTIAN SCHOOL (0.538)
NORMANDY SCHOOLS COLLABORATIVE,South Carolina,SC,SC-NORMANDY SCHOOLS COLLABORATIVE,Matched,SC-CHARLESTON DAY SCHOOL,0.5822,review,,SC-CHARLESTON DAY SCHOOL (0.582) | SC-CARDINAL NEWMAN HIGH SCHOOL (0.573) | SC-OAKBROOK PREPARATORY SCHOOL (0.569)
NORTH SHORE CSD,New York,NY,NY-N SHORE CSD,Matched,NY-WSWHE BOCES,0.5713,review,,NY-WSWHE BOCES (0.571) | NY-BNOS CHOMESH ACADEMY (0.556) | NY-RHINEBECK CSD (0.540)
CAPTIVA ISLAND FIRE CONTROL DISTRICT,Florida,FL,FL-CAPTIVA ISLAND FIRE CONTROL DISTRICT,Matched,FL-INDIAN RIVER COUNTY SCHOOL DISTRICT,0.5598,review,type_mismatch: DISTRICT vs SCHOOL,FL-INDIAN RIVER COUNTY SCHOOL DISTRICT (0.560) | FL-CLAY COUNTY SCHOOL DISTRICT (0.560) | FL-DIXIE COUNTY SCHOOL DISTRICT (0.558)
ICHABOD CRANE CSD,New York,NY,NY-ICHABOD CRANE CSD,Matched,NY-BRASHER FALLS CSD,0.5498,review,,NY-BRASHER FALLS CSD (0.550) | NY- BRANDEIS SCHOOL (0.550) | NY-COPAKE TACONIC HILLS CSD (0.541)
